image-ID,x,y,z,chisq,vis-probe
79,31822.7,32310.7,557.736,329.254,1
79,33587.5,28091.1,711.344,423.449,1
79,27358.7,32089.1,818.677,371.241,1
79,24100.9,35003.7,1026.28,328.459,1
80,21240.9,30839.6,352.99,437.768,1
80,31571.6,29234.2,457.827,314.316,1
80,27360.7,32084.4,825.803,408.536,1
81,27948.5,28505.1,213.71,318.364,1
81,21254.4,30815,354.534,434.557,1
81,26249.4,25184.2,471.678,343.1,1
81,11106,29011,512.012,179.689,1
81,31646.4,29235.8,473.517,213.958,1
81,27356.1,32071.3,817.243,386.315,1
81,12898.4,29214.5,1007.68,320.769,1
81,26396.5,35325.6,1075.06,224.24,1
82,27939.6,28509.5,225.796,365.994,1
82,21267.6,30814,367.598,375.153,1
82,26265.5,25149.5,429.461,410.246,1
82,31759.9,29261.5,542.601,398.916,1
82,27371.5,32096.7,816.195,394.384,1
82,16555.9,26163.5,964.685,297.987,1
82,12896.7,29208.9,993.562,490.775,1
83,27941.8,28524.4,179.648,367.296,1
83,21288.5,30810.1,359.218,431.28,1
83,26286.2,25171.1,452.142,486.42,1
83,31670.1,29267.2,529.859,262.295,1
83,27360,32094.5,830.977,351.98,1
83,16582.6,26149.8,962.821,587.811,1
83,12908.9,29215,991.14,556.37,1
84,21254.8,30818.4,354.738,443.72,1
84,31746.3,29264.2,509.753,327.427,1
84,25661,25917.6,556.168,61.4214,1
84,32292,24295.5,752.034,200.206,1
84,27345.8,32096.9,852.518,337.367,1
84,16544.8,26167.4,965.983,510.764,1
84,12886.4,29198.8,1014.54,536.948,1
85,21261.3,30822.2,338.691,508.743,1
85,25622.3,25877.4,511.795,304.776,1
85,22691.3,36628.7,505.525,31.9739,1
85,32332.7,28794.6,601.719,290.861,1
85,32284.4,24272.2,755.311,323.264,1
85,27351.3,32094.1,817.69,444.774,1
85,16559.6,26170.1,962.948,605.246,1
85,12890.6,29230.9,1002.41,388.755,1
86,21278.2,30795.4,350.119,437.894,1
86,25636.9,25887.7,535.376,261.912,1
86,32325,28803.9,602.221,405.98,1
86,32281.1,24271.7,753.957,321.918,1
86,27367.4,32100.8,848.592,352.435,1
86,16558.5,26165.3,940.798,441.333,1
86,12890.8,29209.2,1021.25,278.512,1
87,31404.3,24416.1,262.16,178.543,1
87,21314.3,30812.5,350.051,334.182,1
87,32314.9,28804.3,601.831,368.481,1
87,27363.2,32121.5,844.741,128.151,1
87,16548.6,26143.4,970.126,499.109,1
87,26381.9,35082.7,1076.54,197.528,1
88,21340,30777.7,334.563,413.263,1
88,32332.8,28805.7,595.355,297.181,1
88,27305.3,35150.4,932.461,469.595,1
88,16567.8,26165.7,955.837,537.486,1
88,26381,35099.3,1088.57,463.737,1
89,14355,24411.8,369.332,255.182,1
89,20648.6,25330.2,467.431,295.048,1
89,31900.2,28229.6,766.409,117.384,1
89,27282.6,35154.1,934.487,446.251,1
89,16557.4,26157.1,945.502,505.068,1
89,26372.3,35103.8,1076.73,525.611,1
89,19067.9,27543,1204.94,301.174,1
90,31865.4,28258,235.185,32.1066,1
90,20636.8,25341.8,483.929,379.864,1
90,31897,28233.7,762.436,361.472,1
90,14613.2,25103,923.74,215.762,1
90,16549.2,26150.9,954.82,487.553,1
90,26345.5,35094.9,1107.66,453.409,1
90,19042.3,27537.7,1174.73,595.709,1
91,20655.1,25332.6,479.262,326.915,1
91,22597.2,36622.9,570.434,93.2158,1
91,31904,28232.4,773.573,302.446,1
91,26283.6,35855.5,782.796,34.7854,1
91,26365,35109.7,1073.94,494.156,1
91,19043,27543,1171.29,418.908,1
92,26888.3,34666.5,234.443,219.975,1
92,20625.2,25384.7,445.071,394.71,1
92,25641.9,38808.8,697.806,326.694,1
92,31888.9,28231.3,764.95,322.305,1
92,27505.6,35345.2,906.686,151.449,1
93,31867.8,28232.4,765.134,317.753,1
93,28022.6,39093.7,877.349,534.776,1
93,27527.7,35349.4,919.277,632.489,1
94,28034.7,39091.3,855.808,520.858,1
94,30185.5,29744.3,1046.43,196.651,1
95,11157.8,33124.1,542.566,261.275,1
95,28040.8,39101.1,878.305,419.187,1
95,30178.9,29752.1,1019.17,550.91,1
96,28033.5,39086.7,862.795,603.402,1
96,30175.7,29768.9,1009.13,489.644,1
97,14230.5,37442.2,288.062,33.8575,1
97,14263.8,37387.4,681.568,493.841,1
97,28021.2,39088.9,858.647,556.98,1
97,30172.5,29758.7,1018.57,592.059,1
98,14618.9,24003.5,292.388,74.7965,1
