% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
5.000000000000001E-5     810                      3.650668685278372E-13
5.000000000000001E-5     820                      3.6642538708297394E-13
5.000000000000001E-5     830                      3.677490773531185E-13
5.000000000000001E-5     840                      3.690102183399487E-13
5.000000000000001E-5     850                      3.7026112523562174E-13
5.000000000000001E-5     860                      3.714931725940561E-13
5.000000000000001E-5     870                      3.727081374049988E-13
5.000000000000001E-5     880                      3.7388062757650915E-13
5.000000000000001E-5     890                      3.7503015082272967E-13
5.000000000000001E-5     900                      3.7613681565710543E-13
5.000000000000001E-5     910                      3.7721762716496277E-13
5.000000000000001E-5     920                      3.782633928140197E-13
5.000000000000001E-5     930                      3.792487092915569E-13
5.000000000000001E-5     940                      3.802249147691143E-13
5.000000000000001E-5     950                      3.8118437324333136E-13
5.000000000000001E-5     960                      3.821284828501915E-13
5.000000000000001E-5     970                      3.8303445150001397E-13
5.000000000000001E-5     980                      3.839199297744219E-13
5.000000000000001E-5     990                      3.8476679533588623E-13
5.000000000000001E-5     1000                     3.8558246887004854E-13
5.000000000000001E-5     1010                     3.8638200161052546E-13
5.000000000000001E-5     1020                     3.8714308294351015E-13
5.000000000000001E-5     1030                     3.878638607042131E-13
5.000000000000001E-5     1040                     3.885785503606482E-13
5.000000000000001E-5     1050                     3.892782940673558E-13
5.000000000000001E-5     1060                     3.899629067315686E-13
5.000000000000001E-5     1070                     3.906153853225511E-13
5.000000000000001E-5     1080                     3.9125207455563216E-13
5.000000000000001E-5     1090                     3.9185592719761626E-13
5.000000000000001E-5     1100                     3.924456016636422E-13
5.000000000000001E-5     1110                     3.930027111773518E-13
5.000000000000001E-5     1120                     3.9352693683738803E-13
5.000000000000001E-5     1130                     3.940465316296712E-13
5.000000000000001E-5     1140                     3.9455452820381183E-13
5.000000000000001E-5     1150                     3.9505065058147757E-13
5.000000000000001E-5     1160                     3.9552156787190563E-13
5.000000000000001E-5     1170                     3.9598015170831137E-13
5.000000000000001E-5     1180                     3.9640319175875506E-13
5.000000000000001E-5     1190                     3.968024431614595E-13
5.000000000000001E-5     1200                     3.971998150841936E-13
