% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
5.000000000000001E-5     1120                     6.894686947415038E-13
5.000000000000001E-5     1130                     6.904863180693782E-13
5.000000000000001E-5     1140                     6.914716417440619E-13
5.000000000000001E-5     1150                     6.924204932702736E-13
5.000000000000001E-5     1160                     6.933111145835254E-13
5.000000000000001E-5     1170                     6.941867377937623E-13
5.000000000000001E-5     1180                     6.950275913399952E-13
5.000000000000001E-5     1190                     6.958048301038916E-13
5.000000000000001E-5     1200                     6.965664276699357E-13
5.000000000000001E-5     1210                     6.973190400169863E-13
5.000000000000001E-5     1220                     6.980421510208485E-13
5.000000000000001E-5     1230                     6.987208593282812E-13
5.000000000000001E-5     1240                     6.993566250583079E-13
5.000000000000001E-5     1250                     6.99964221620797E-13
5.000000000000001E-5     1260                     7.00561139731256E-13
5.000000000000001E-5     1270                     7.011495487181531E-13
5.000000000000001E-5     1280                     7.017281477566367E-13
5.000000000000001E-5     1290                     7.022935184792076E-13
5.000000000000001E-5     1300                     7.028247843892372E-13
5.000000000000001E-5     1310                     7.0331321691718E-13
5.000000000000001E-5     1320                     7.037720884480836E-13
5.000000000000001E-5     1330                     7.042301638808808E-13
5.000000000000001E-5     1340                     7.046793905040197E-13
5.000000000000001E-5     1350                     7.050997916072814E-13
5.000000000000001E-5     1360                     7.055147973796365E-13
5.000000000000001E-5     1370                     7.059193444366644E-13
5.000000000000001E-5     1380                     7.063004234266987E-13
5.000000000000001E-5     1390                     7.06652768458697E-13
5.000000000000001E-5     1400                     7.069819620269319E-13
5.000000000000001E-5     1410                     7.07299143212505E-13
5.000000000000001E-5     1420                     7.076165415564609E-13
5.000000000000001E-5     1430                     7.079306695726199E-13
5.000000000000001E-5     1440                     7.082326752126387E-13
5.000000000000001E-5     1450                     7.085129502366445E-13
5.000000000000001E-5     1460                     7.087703654586942E-13
5.000000000000001E-5     1470                     7.090198229739956E-13
5.000000000000001E-5     1480                     7.092668056346879E-13
5.000000000000001E-5     1490                     7.095092883233798E-13
5.000000000000001E-5     1500                     7.097395576998828E-13
5.000000000000001E-5     1510                     7.099515774123597E-13
5.000000000000001E-5     1520                     7.101466345738044E-13
5.000000000000001E-5     1530                     7.103315855367987E-13
5.000000000000001E-5     1540                     7.105136131641555E-13
5.000000000000001E-5     1550                     7.106943181911021E-13
5.000000000000001E-5     1560                     7.108706419868299E-13
5.000000000000001E-5     1570                     7.110415775657172E-13
5.000000000000001E-5     1580                     7.111982452313063E-13
5.000000000000001E-5     1590                     7.113438944589384E-13
5.000000000000001E-5     1600                     7.114884170534804E-13
5.000000000000001E-5     1610                     7.116288908270007E-13
5.000000000000001E-5     1620                     7.11760066971584E-13
5.000000000000001E-5     1630                     7.118799108198178E-13
5.000000000000001E-5     1640                     7.119908206562352E-13
5.000000000000001E-5     1650                     7.12097389759966E-13
5.000000000000001E-5     1660                     7.122028878614744E-13
5.000000000000001E-5     1670                     7.12305392795577E-13
5.000000000000001E-5     1680                     7.12405852990581E-13
5.000000000000001E-5     1690                     7.125028884396663E-13
5.000000000000001E-5     1700                     7.125926518693096E-13
5.000000000000001E-5     1710                     7.126740555639338E-13
5.000000000000001E-5     1720                     7.127493228097273E-13
5.000000000000001E-5     1730                     7.128220135072169E-13
5.000000000000001E-5     1740                     7.128951170727591E-13
5.000000000000001E-5     1750                     7.129659904664198E-13
5.000000000000001E-5     1760                     7.130351796038071E-13
5.000000000000001E-5     1770                     7.130998801280955E-13
5.000000000000001E-5     1780                     7.131586506988436E-13
5.000000000000001E-5     1790                     7.132128319327041E-13
5.000000000000001E-5     1800                     7.132670983065579E-13
5.000000000000001E-5     1810                     7.133202225363528E-13
5.000000000000001E-5     1820                     7.133714573992208E-13
5.000000000000001E-5     1830                     7.134187620540139E-13
5.000000000000001E-5     1840                     7.134615651340157E-13
5.000000000000001E-5     1850                     7.135010478053128E-13
5.000000000000001E-5     1860                     7.135391004179135E-13
5.000000000000001E-5     1870                     7.135771197144579E-13
5.000000000000001E-5     1880                     7.136141544296166E-13
5.000000000000001E-5     1890                     7.136503985632851E-13
5.000000000000001E-5     1900                     7.136844905935168E-13
5.000000000000001E-5     1910                     7.137147838499191E-13
5.000000000000001E-5     1920                     7.137442629741888E-13
5.000000000000001E-5     1930                     7.137732276306252E-13
5.000000000000001E-5     1940                     7.138005736650942E-13
5.000000000000001E-5     1950                     7.138255486765468E-13
5.000000000000001E-5     1960                     7.138483041777892E-13
5.000000000000001E-5     1970                     7.138696940778445E-13
5.000000000000001E-5     1980                     7.138906013657583E-13
5.000000000000001E-5     1990                     7.139111780137756E-13
5.000000000000001E-5     2000                     7.139311453270636E-13
5.000000000000001E-5     2010                     7.139504829658688E-13
5.000000000000001E-5     2020                     7.139683735490431E-13
5.000000000000001E-5     2030                     7.139845036514191E-13
5.000000000000001E-5     2040                     7.139992504815785E-13
5.000000000000001E-5     2050                     7.140133385308481E-13
5.000000000000001E-5     2060                     7.140274999183263E-13
5.000000000000001E-5     2070                     7.14041248207243E-13
5.000000000000001E-5     2080                     7.140547117651474E-13
5.000000000000001E-5     2090                     7.140672826137082E-13
5.000000000000001E-5     2100                     7.140785621783593E-13
5.000000000000001E-5     2110                     7.140887544865868E-13
5.000000000000001E-5     2120                     7.140988140437998E-13
5.000000000000001E-5     2130                     7.141088317800532E-13
5.000000000000001E-5     2140                     7.141183080506677E-13
5.000000000000001E-5     2150                     7.141272799052062E-13
5.000000000000001E-5     2160                     7.141360256287779E-13
5.000000000000001E-5     2170                     7.141439936445487E-13
5.000000000000001E-5     2180                     7.141511635808956E-13
5.000000000000001E-5     2190                     7.141581456270506E-13
5.000000000000001E-5     2200                     7.141650230017078E-13
5.000000000000001E-5     2210                     7.141716943693857E-13
